,Unnamed: 0,_runtime,_step,_timestamp,_wandb,data__categorical,data__keyword,data__method_name,data__regression,data_generation_time,hp,log_training,max_test_samples,max_train_samples,max_val_samples,mean_r2_test,mean_r2_train,mean_r2_val,mean_test_score,mean_time,mean_train_score,mean_val_score,model__batch_size,model__device,model__lr,model__lr_scheduler,model__max_epochs,model__module__d_embedding,model__module__d_layers,model__module__dropout,model__module__n_layers,model__optimizer,model__use_checkpoints,model_name,model_type,n_features,n_iter,n_test,n_train,num_epochs,processor,regression,sweep_id,sweep_name,train_accuracy_vector,train_prop,transform__0__apply_on,transform__0__method_name,transform__0__type,transformed_target,use_gpu,val_test_prop,valid_accuracy_vector
0,0,9.655041694641112,0.0,1672934356.3920796,{'runtime': 9},0.0,wine,real_data,0.0,0.0910115242004394,default,1.0,50000.0,10000.0,50000.0,,,,0.7672253258845437,3.943248987197876,0.9513150531617236,0.8217391304347826,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,11.0,1.0,537.0,1787.0,65.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.5010496850944717, 0.7711686494051785, 0.820853743876837, 0.8901329601119664, 0.9426172148355494, 0.960811756473058]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.5446927374301676, 0.770949720670391, 0.8044692737430168, 0.8072625698324022, 0.7988826815642458, 0.7877094972067039]"
1,1,14.366929769515991,0.0,1672934352.2972229,{'runtime': 13},0.0,credit,real_data,0.0,0.0870819091796875,default,1.0,50000.0,10000.0,50000.0,,,,0.7565957446808511,8.696492910385132,0.7957,0.769116186693148,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,10.0,1.0,4700.0,10000.0,62.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.496875, 0.776375, 0.78175, 0.786125, 0.78925, 0.79325]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.4965, 0.7735, 0.7755, 0.779, 0.7785, 0.7755]"
2,2,16.641415119171143,0.0,1672934355.080377,{'runtime': 16},0.0,california,real_data,0.0,0.0994887351989746,default,1.0,50000.0,10000.0,50000.0,,,,0.8589468027941967,10.958452224731444,0.9457,0.8573667711598746,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,8.0,1.0,7444.0,10000.0,85.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.697875, 0.873, 0.892375, 0.902375, 0.92075, 0.93225, 0.9515, 0.96]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.834, 0.857, 0.847, 0.854, 0.8535, 0.853, 0.8575, 0.8565]"
3,3,14.204360485076904,0.0,1672934336.6166196,{'runtime': 13},0.0,jannis,real_data,0.0,0.9363560676574708,default,1.0,50000.0,10000.0,50000.0,,,,0.727856842610941,7.685718774795532,0.8763,0.7299285414039512,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,54.0,1.0,33306.0,10000.0,46.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.649375, 0.806875, 0.874125, 0.899375]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.689, 0.7365, 0.7375, 0.7325]"
4,4,10.886316299438477,0.0,1672934331.1969414,{'runtime': 10},0.0,eye_movements,real_data,0.0,0.1079540252685546,default,1.0,50000.0,10000.0,50000.0,,,,0.5634771732332708,5.174095392227173,0.8445070422535211,0.5760233918128655,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,20.0,1.0,1599.0,5325.0,44.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.5213615023474178, 0.6532863849765258, 0.7460093896713615, 0.8375586854460094]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.564319248826291, 0.568075117370892, 0.5624413145539906, 0.5690140845070423]"
5,5,14.945973873138428,0.0,1672934321.660998,{'runtime': 14},0.0,Higgs,real_data,0.0,1.123551368713379,default,1.0,50000.0,10000.0,50000.0,,,,0.64638,7.858239412307739,0.8952,0.64812,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,24.0,1.0,50000.0,10000.0,46.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.533125, 0.804125, 0.923875, 0.93125]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.5795, 0.6635, 0.658, 0.667]"
6,6,15.44055199623108,0.0,1672934322.195351,{'runtime': 14},0.0,MiniBooNE,real_data,0.0,1.0017218589782717,default,1.0,50000.0,10000.0,50000.0,,,,0.9299984126624188,8.83938980102539,0.971,0.9308958145933648,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,50.0,1.0,44099.0,10000.0,57.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.659625, 0.9505, 0.965125, 0.974375, 0.980375]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.852, 0.924, 0.9185, 0.9135, 0.919]"
7,7,11.646956205368042,0.0,1672934305.732103,{'runtime': 11},0.0,phoneme,real_data,0.0,0.047471284866333,default,1.0,50000.0,10000.0,50000.0,,,,0.8185907046476761,5.979395627975464,0.8648648648648649,0.8385964912280702,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,5.0,1.0,667.0,2220.0,126.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.5061936936936937, 0.8119369369369369, 0.8344594594594594, 0.8440315315315315, 0.8502252252252253, 0.8536036036036037, 0.8536036036036037, 0.8597972972972973, 0.8569819819819819, 0.8682432432432432, 0.8693693693693694, 0.8688063063063063]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.5067567567567568, 0.8063063063063063, 0.8220720720720721, 0.8378378378378378, 0.8198198198198198, 0.8265765765765766, 0.8378378378378378, 0.8333333333333334, 0.8378378378378378, 0.831081081081081, 0.8423423423423423, 0.8400900900900901]"
8,8,20.727872848510746,0.0,1672934306.570674,{'runtime': 20},0.0,bank-marketing,real_data,0.0,0.0589210987091064,default,1.0,50000.0,10000.0,50000.0,,,,0.4954995499549955,15.06205677986145,0.5040518638573744,0.4789915966386555,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,7.0,1.0,2222.0,7404.0,155.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.49603241600540265, 0.5039675839945973, 0.5039675839945973, 0.5039675839945973]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.4956110735989197, 0.5043889264010804, 0.5043889264010804, 0.5043889264010804]"
9,9,14.798954486846924,0.0,1672934295.4367974,{'runtime': 14},0.0,MagicTelescope,real_data,0.0,0.0976293087005615,default,1.0,50000.0,10000.0,50000.0,,,,0.8202846975088968,9.069724321365356,0.9314322332585708,0.8478802992518704,512.0,cuda,0.001,1.0,300.0,128.0,256.0,0.0,4.0,adamw,1.0,rtdl_mlp,skorch,10.0,1.0,2810.0,9363.0,70.0,NVIDIA GeForce RTX 2080 Ti,0.0,rw1fo8f4,mlp_classif_medium_numerical_default_0,"[0.719626168224299, 0.865954606141522, 0.8858477970627503, 0.9016021361815756, 0.914686248331108, 0.9261682242990654, 0.9444592790387184]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.801388147357181, 0.8392952482648158, 0.8435664709022958, 0.8398291510945008, 0.8392952482648158, 0.8392952482648158, 0.8398291510945008]"
