dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
4,labor,57,16,8,5,8,17,,,,,,,,30,True,
26,nursery,12960,8,8,0,0,0,1.0,,,,,,,8532,False,
154,LED(50000),1000000,24,24,0,0,0,0.8153533333333334,,,,,,,201426,False,
179,adult,48842,14,12,0,0,2809,0.7994900560938296,,,,,,,22844,False,
274,20_newsgroups.drift,399940,1001,1000,0,0,0,0.4864527486596784,,,,,,,39994,False,
350,webdata_wXa,36974,123,0,0,0,0,0.7655586854460094,,,,,,,17748,False,
720,abalone,4177,8,1,0,0,0,0.789111289031225,,,,,,,4162,False,
881,mv,40768,10,3,0,0,0,0.9933720800268248,,,,,,,32894,False,
923,visualizing_soil,8641,4,1,0,0,0,0.9969138448349766,,,,,,,7776,False,
959,nursery,12960,8,8,0,0,0,1.0,,,,,,,8640,False,
981,kdd_internet_usage,10108,68,68,0,1,0,0.8511656441717792,,,,,,,5430,False,
993,kdd_ipums_la_97-small,7019,60,27,13,9,709,0.8020901371652513,,,,,,,5102,False,
1110,KDDCup99_full,4898431,41,7,6,0,0,0.9998066666666666,,,,,,,2144034,False,
1112,KDDCup09_churn,50000,230,38,44,123,13173,0.5597177677998718,,,,,,,5194,False,
1113,KDDCup99,494020,41,7,7,0,0,0.9997666666666667,,,,,,,214402,False,
1119,adult-census,32561,14,8,0,0,1843,0.7972549019607844,,,,,,,15300,False,
1169,airlines,539383,7,4,0,0,0,0.6227333333333332,,,,,,,480528,False,
1240,AirlinesCodrnaAdult,1076790,29,16,0,0,3139,0.7901999999999999,,,,,,,946536,False,
1461,bank-marketing,45211,16,9,0,0,0,0.8370510396975425,,,,,,,10578,False,
1486,nomao,34465,118,29,15,0,0,0.9549009649568309,,,,,,,19688,False,
1503,spoken-arabic-digit,263256,14,0,0,0,0,0.5189733333333334,,,,,,,52932,False,
1568,nursery,12958,8,8,0,0,0,1.0,,,,,,,8532,False,
1590,adult,48842,14,8,0,0,2809,0.8031361550229474,,,,,,,22844,False,
4534,PhishingWebsites,11055,30,30,0,0,0,0.9614834977883634,,,,,,,9796,False,
4541,Diabetes130US,101766,49,36,2,0,0,0.61424,,,,,,,71090,False,
40517,20_newsgroups.drift,399940,1000,1000,0,0,0,0.4864527486596784,,,,,,,39994,False,
40672,fars,100968,29,15,0,0,0,1.0,,,,,,,40014,False,
40997,jungle_chess_2pcs_endgame_panther_lion,4704,46,26,5,0,0,0.9991816693944354,,,,,,,4072,False,
40998,jungle_chess_2pcs_endgame_panther_lion,4704,46,26,5,0,0,0.9991816693944354,,,,,,,4072,False,
41000,jungle_chess_2pcs_endgame_panther_elephant,4704,46,26,4,0,0,1.0,,,,,,,4028,False,
41002,jungle_chess_2pcs_endgame_rat_panther,5880,46,26,4,0,1176,0.9995863495346432,,,,,,,3222,False,
41003,jungle_chess_2pcs_endgame_rat_elephant,5880,46,26,4,0,1176,1.0,,,,,,,3554,False,
41006,jungle_chess_2pcs_endgame_rat_lion,5880,46,26,5,0,1176,1.0,,,,,,,3960,False,
41147,albert,425240,78,52,0,11,201038,0.6074266666666667,,,,,,,202948,False,
41162,kick,72983,32,18,0,2,3553,0.6202941909748192,,,,,,,13370,False,
41440,okcupid-stem,50789,19,17,0,5,7533,0.6453131395824806,,,,,,,16284,False,
41672,airlines,539383,7,4,0,0,0,0.6227333333333332,,,,,,,480528,False,
42132,Traffic_violations,1578154,42,4,5,2,86520,0.60146,,,,,,,1413948,False,
42192,compas-two-years,5278,13,6,2,0,0,0.6338255033557048,,,,,,,4966,False,
42193,compas-two-years,5278,13,6,2,0,0,0.6338255033557048,,,,,,,4966,False,
42206,porto-seguro,595212,37,25,3,2,151680,0.5694005602240896,,,,,,,32850,False,
42343,KDD98,82318,477,136,11,30,8339,0.5356444772266273,,,,,,,18076,False,
42344,sf-police-incidents,538638,6,5,0,0,0,0.5352133333333333,,,,,,,538638,False,
42345,Traffic_violations,70340,20,19,0,0,434,0.5685933333333333,,,,,,,64490,False,
42477,default-of-credit-card-clients,30000,23,0,2,0,0,0.6978905072827725,,,,,,,13272,False,
42493,airlines,26969,7,5,0,0,0,0.6212789415656009,,,,,,,24070,False,
42732,sf-police-incidents,2215023,8,5,0,0,0,0.5374066666666666,,,,,,,538638,False,
42734,okcupid-stem,50789,19,17,0,5,7533,0.6453131395824806,,,,,,,16284,False,
42742,porto-seguro,595212,57,31,6,2,151680,0.565389355742297,,,,,,,32850,False,
42746,KDDCup99,4898431,41,9,5,0,0,0.9998466666666668,,,,,,,2144034,False,
42750,Census-Income-KDD,199523,41,0,3,4,0,0.841274068004916,,,,,,,24764,False,
43044,drug-directory,120215,19,0,1,2,4593,0.9468066666666667,,,,,,,92944,False,
43439,Medical-Appointment-No-Shows,110527,12,0,1,0,0,0.5976584114987517,,,,,,,44638,False,
43489,Census-(Augmented),1000000,14,0,0,0,0,0.8445333333333334,,,,,,,630668,False,
43607,WMO-Hurricane-Survival-Dataset,5021,22,0,0,0,70,0.49529737206085755,,,,,,,4818,False,
43890,law-school-admission-bianry,20800,11,5,1,0,0,0.9997510580034852,,,,,,,13388,False,
43892,national-longitudinal-survey-binary,4908,16,7,2,0,0,0.9656474820143884,,,,,,,3706,False,
43898,adult,48790,14,8,0,0,2805,0.8042134831460673,,,,,,,22832,False,
43903,Diabetes-130-Hospitals_(Fairlearn),101766,21,5,1,0,0,0.57513611615245,,,,,,,22714,False,
43904,law-school-admission-bianry,20800,10,5,1,0,0,0.6697535474234504,,,,,,,13388,False,
43920,kdd_internet_usage,10108,70,70,0,1,0,0.843558282208589,,,,,,,5430,False,
43922,mushroom,8124,22,22,0,0,0,1.0,,,,,,,7832,False,
43923,mushroom,12960,8,8,0,0,0,1.0,,,,,,,8532,False,
43938,,,,,,,,,,,,,,,,,
