,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
0,44,spambase,4601.0,57.0,0.0,0.0,0.0,0.0,0.9238970588235292,,,,,,,3626.0,False,
1,60,waveform-5000,5000.0,40.0,0.0,0.0,0.0,0.0,0.900503524672709,,,,,,,3310.0,False,
2,150,covertype,581012.0,54.0,44.0,0.0,0.0,0.0,0.84088,,,,,,,423680.0,False,
3,152,Hyperplane_10_1E-3,1000000.0,10.0,0.0,0.0,0.0,0.0,0.66998,,,,,,,999986.0,False,
4,153,Hyperplane_10_1E-4,1000000.0,10.0,0.0,0.0,0.0,0.0,0.8950800000000001,,,,,,,999668.0,False,
5,159,RandomRBF_50_1E-3,1000000.0,10.0,0.0,0.0,0.0,0.0,0.53548,,,,,,,522348.0,False,
6,160,RandomRBF_50_1E-4,1000000.0,10.0,0.0,0.0,0.0,0.0,0.7515666666666666,,,,,,,522348.0,False,
7,180,covertype,110393.0,54.0,40.0,0.0,0.0,0.0,0.8279066666666667,,,,,,,77812.0,False,
8,246,BNG(labor),1000000.0,16.0,8.0,1.0,0.0,0.0,0.7952733333333333,,,,,,,706000.0,False,
9,251,BNG(breast-w),39366.0,9.0,0.0,0.0,0.0,0.0,0.9830466424082038,,,,,,,27092.0,False,
10,256,BNG(colic.ORIG),1000000.0,27.0,20.0,0.0,0.0,0.0,0.5020066666666667,,,,,,,724812.0,False,
11,257,BNG(colic),1000000.0,22.0,15.0,0.0,0.0,0.0,0.6755000000000001,,,,,,,739558.0,False,
12,258,BNG(credit-a),1000000.0,15.0,9.0,0.0,0.0,0.0,0.7759866666666667,,,,,,,891984.0,False,
13,267,BNG(heart-statlog),1000000.0,13.0,0.0,4.0,0.0,0.0,0.8068533333333333,,,,,,,888108.0,False,
14,269,BNG(hepatitis),1000000.0,19.0,13.0,0.0,0.0,0.0,0.7792866666666667,,,,,,,415634.0,False,
15,351,codrna,488565.0,8.0,0.0,0.0,0.0,0.0,0.96186,,,,,,,325710.0,False,
16,357,vehicle_sensIT,98528.0,100.0,0.0,0.0,0.0,0.0,0.8463466666666667,,,,,,,98528.0,False,
17,720,abalone,4177.0,8.0,1.0,0.0,0.0,0.0,0.7868694955964772,,,,,,,4162.0,False,
18,725,bank8FM,8192.0,8.0,0.0,1.0,0.0,0.0,0.9366246851385392,,,,,,,6614.0,False,
