dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
182,satimage,6430,36,0,0,0,0,0.9995580110497236,,,,,,,3016,False,
250,BNG(mfeat-fourier),1000000,76,0,0,0,0,0.9985066666666667,,,,,,,200314,False,
252,BNG(mfeat-karhunen),1000000,64,0,0,0,0,0.9941600000000002,,,,,,,200734,False,
254,BNG(mfeat-zernike),1000000,47,0,0,0,0,0.97188,,,,,,,200552,False,
261,BNG(pendigits),1000000,16,0,0,0,0,0.9936933333333332,,,,,,,208286,False,
266,BNG(heart-c),1000000,13,7,1,0,0,0.7566466666666667,,,,,,,907206,False,
271,BNG(waveform-5000),1000000,40,0,0,0,0,0.9126533333333334,,,,,,,661984,False,
279,meta_stream_intervals.arff,45164,74,0,1,0,0,0.9907501410039481,,,,,,,11818,False,
554,mnist_784,70000,784,0,110,0,0,0.9917733089579525,,,,,,,14586,False,
1110,KDDCup99_full,4898431,41,7,6,0,0,0.9997666666666667,,,,,,,2144034,False,
1113,KDDCup99,494020,41,7,7,0,0,0.9998133333333333,,,,,,,214402,False,
1183,BNG(satimage),1000000,36,0,0,0,0,0.9921333333333333,,,,,,,468272,False,
1185,BNG(wine),1000000,13,0,0,0,0,0.9513266666666667,,,,,,,642542,False,
1209,BNG(vowel),1000000,12,2,0,0,0,0.8959133333333333,,,,,,,182326,False,
1214,BNG(JapaneseVowels),1000000,14,0,0,0,0,0.9666933333333334,,,,,,,294022,False,
1222,letter-challenge-unlabeled.arff,20000,16,0,0,0,0,0.548987108655617,,,,,,,14480,False,
1226,Click_prediction_small,798964,9,0,2,0,0,0.5055266666666667,,,,,,,664786,False,
1351,"BNG(anneal,1000,1)",1000000,38,32,0,0,0,0.6756,,,,,,,220680,False,
1352,"BNG(anneal,1000,5)",1000000,38,32,0,0,0,0.62222,,,,,,,220680,False,
1353,"BNG(anneal,1000,10)",1000000,38,32,0,0,0,0.5920066666666666,,,,,,,220680,False,
1354,"BNG(anneal,5000,1)",1000000,38,32,0,0,0,0.7577933333333333,,,,,,,220680,False,
1355,"BNG(anneal,5000,5)",1000000,38,32,0,0,0,0.6763466666666667,,,,,,,220680,False,
1356,"BNG(anneal,5000,10)",1000000,38,32,0,0,0,0.6757333333333333,,,,,,,220680,False,
1357,"BNG(anneal,10000,1)",1000000,38,32,0,0,0,0.7725133333333334,,,,,,,220680,False,
1358,"BNG(anneal,10000,5)",1000000,38,32,0,0,0,0.7139800000000001,,,,,,,220680,False,
1359,"BNG(anneal,10000,10)",1000000,38,32,0,0,0,0.6781666666666667,,,,,,,220680,False,
1360,"BNG(anneal.ORIG,1000,1)",1000000,38,32,0,0,0,0.6756466666666666,,,,,,,220680,False,
1361,"BNG(anneal.ORIG,1000,5)",1000000,38,32,0,0,0,0.6288400000000001,,,,,,,220680,False,
1362,,,,,,,,,,,,,,,,,
1363,,,,,,,,,,,,,,,,,
1364,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,,,,,,,,
1366,,,,,,,,,,,,,,,,,
1368,,,,,,,,,,,,,,,,,
1393,,,,,,,,,,,,,,,,,
1394,,,,,,,,,,,,,,,,,
1395,"BNG(autos,1000,10)",1000000,25,10,0,0,0,0.5474666666666667,,,,,,,521888,False,
1476,gas-drift,13910,128,0,0,0,0,0.9981776765375854,,,,,,,5852,False,
1477,gas-drift-different-concentrations,13910,129,0,0,0,0,0.9977220956719817,,,,,,,5852,False,
1478,har,10299,561,0,0,0,0,0.9993006993006993,,,,,,,3812,False,
1503,spoken-arabic-digit,263256,14,0,0,0,0,0.5326933333333332,,,,,,,52932,False,
1526,wall-robot-navigation,5456,4,0,0,0,0,0.9806195393169184,,,,,,,4194,False,
1596,covertype,581012,54,44,0,0,0,0.8391666666666667,,,,,,,423680,False,
4541,Diabetes130US,101766,49,36,2,0,0,0.63378,,,,,,,71090,False,
40685,shuttle,58000,9,0,0,0,0,0.9918008236615499,,,,,,,17806,False,
40923,Devnagari-Script,92000,1024,0,240,0,0,0.9876666666666667,,,,,,,4000,False,
40996,Fashion-MNIST,70000,784,0,1,0,0,0.987952380952381,,,,,,,14000,False,
40997,jungle_chess_2pcs_endgame_panther_lion,4704,46,26,5,0,0,0.9924713584288052,,,,,,,4072,False,
41000,jungle_chess_2pcs_endgame_panther_elephant,4704,46,26,4,0,0,0.7875930521091813,,,,,,,4028,False,
41002,,,,,,,,,,,,,,,,,
41039,EMNIST_Balanced,131600,784,0,77,0,0,0.9864366448542533,,,,,,,5600,False,
41163,dilbert,10000,2000,0,0,0,0,0.9998371335504885,,,,,,,4092,False,
41164,fabert,8237,800,0,58,0,0,0.9632563256325632,,,,,,,3030,False,
41166,volkert,58310,180,0,33,0,0,0.9880816123413785,,,,,,,23038,False,
41168,jannis,83733,54,0,0,0,0,0.72536,,,,,,,57580,False,
41169,helena,65196,27,0,0,0,0,0.9637649619151251,,,,,,,6126,False,
41671,microaggregation2,20000,20,0,10,0,0,0.6637918215613382,,,,,,,8964,False,
41972,Indian_pines,9144,220,0,0,0,0,0.907323568575233,,,,,,,5004,False,
41982,Kuzushiji-MNIST,70000,784,0,0,0,0,0.9765238095238095,,,,,,,14000,False,
41986,GTSRB-HOG01,51839,1568,0,0,0,0,0.9878684807256235,,,,,,,5880,False,
41988,GTSRB-HOG02,51839,1568,0,0,0,0,0.9924036281179138,,,,,,,5880,False,
41989,GTSRB-HOG03,51839,2916,0,0,0,0,0.986621315192744,,,,,,,5880,False,
42468,hls4ml_lhc_jets_hlf,830000,16,0,0,0,0,0.8986733333333333,,,,,,,334250,False,
42746,KDDCup99,4898431,41,9,5,0,0,0.9997666666666667,,,,,,,2144034,False,
