dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
44,spambase,4601,57,0,0,0,0,0.9238970588235293,,,,,,,3626,False,
60,waveform-5000,5000,40,0,0,0,0,0.900503524672709,,,,,,,3310,False,
279,meta_stream_intervals.arff,45164,74,0,1,0,0,0.9907501410039481,,,,,,,11818,False,
351,codrna,488565,8,0,0,0,0,0.96186,,,,,,,325710,False,
357,vehicle_sensIT,98528,100,0,0,0,0,0.8463466666666667,,,,,,,98528,False,
720,,,,,,,,,,,,,,,,,
725,bank8FM,8192,8,0,1,0,0,0.9366246851385391,,,,,,,6614,False,
734,ailerons,13750,40,0,7,0,0,0.8662853874749785,,,,,,,11656,False,
735,cpu_small,8192,12,0,0,0,0,0.9104236718224614,,,,,,,4954,False,
737,space_ga,3107,6,0,0,0,0,0.8745945945945947,,,,,,,3082,False,
761,cpu_act,8192,21,0,0,0,0,0.9236045729657028,,,,,,,4954,False,
803,delta_ailerons,7129,5,0,0,0,0,0.9395418326693228,,,,,,,6692,False,
816,puma8NH,8192,8,0,0,0,0,0.7937883122190437,,,,,,,8156,False,
819,delta_elevators,9517,6,0,1,0,0,0.876056338028169,,,,,,,9464,False,
823,houses,20640,8,0,0,0,0,0.9827631332959431,,,,,,,17828,False,
833,bank32nh,8192,32,0,4,0,0,0.7558322411533421,,,,,,,5086,False,
846,elevators,16599,18,0,2,0,0,0.87268593699253,,,,,,,10260,False,
847,wind,6574,14,0,0,0,0,0.8495661605206074,,,,,,,6146,False,
871,pollen,3848,5,0,0,0,0,0.4824242424242424,,,,,,,3848,False,
976,JapaneseVowels,9961,14,0,0,0,0,0.9902992776057792,,,,,,,3228,False,
979,waveform-5000,5000,40,0,0,0,0,0.8586614173228346,,,,,,,3384,False,
1053,jm1,10885,21,0,0,0,5,0.6591125198098255,,,,,,,4206,False,
