dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
44,spambase,4601,57,0,,,,0.9325126719768283,,,,,,,4601,False,
60,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,
351,codrna,488565,8,0,,,,0.9593599999999999,,,,,,,488565,False,
357,vehicle_sensIT,98528,100,0,,,,0.8476199999999998,,,,,,,98528,False,
720,,,,,,,,,,,,,,,,,
725,bank8FM,8192,8,0,,,,0.9377542717656631,,,,,,,8192,False,
734,ailerons,13750,40,0,,,,0.8777696969696969,,,,,,,13750,False,
735,cpu_small,8192,12,0,,,,0.9247355573637103,,,,,,,8192,False,
737,space_ga,3107,6,0,,,,0.8722400857449089,,,,,,,3107,False,
761,cpu_act,8192,21,0,,,,0.9362896663954434,,,,,,,8192,False,
803,delta_ailerons,7129,5,0,,,,0.9413744740532959,,,,,,,7129,False,
816,puma8NH,8192,8,0,,,,0.7973148901545972,,,,,,,8192,False,
819,delta_elevators,9517,6,0,,,,0.8707983193277311,,,,,,,9517,False,
823,houses,20640,8,0,,,,0.9818504763442597,,,,,,,20640,False,
833,bank32nh,8192,32,0,,,,0.78413344182262,,,,,,,8192,False,
846,elevators,16599,18,0,,,,0.9026907630522087,,,,,,,16599,False,
847,wind,6574,14,0,,,,0.8527116066903193,,,,,,,6574,False,
871,pollen,3848,5,0,,,,0.4903896103896104,,,,,,,3848,False,
976,JapaneseVowels,9961,14,0,,,,0.9947139511542321,,,,,,,9961,False,
979,waveform-5000,5000,40,0,,,,0.8601333333333333,,,,,,,5000,False,
1053,jm1,10885,21,0,,,,0.8096754439681568,,,,,,,10885,False,
1110,,,,,,,,,,,,,,,,,
1113,,,,,,,,,,,,,,,,,
1119,,,,,,,,,,,,,,,,,
1222,,,,,,,,,,,,,,,,,
1241,codrnaNorm,488565,8,0,,,,0.95992,,,,,,,488565,False,
1242,vehicleNorm,98528,100,0,,,,0.84864,,,,,,,98528,False,
1476,,,,,,,,,,,,,,,,,
1477,,,,,,,,,,,,,,,,,
1478,,,,,,,,,,,,,,,,,
1486,,,,,,,,,,,,,,,,,
1503,,,,,,,,,,,,,,,,,
1507,twonorm,7400,20,0,,,,0.9657657657657659,,,,,,,7400,False,
1526,,,,,,,,,,,,,,,,,
1590,,,,,,,,,,,,,,,,,
4134,Bioresponse,3751,1776,0,,,,0.7367673179396093,,,,,,,3751,False,
4541,,,,,,,,,,,,,,,,,
23517,numerai28.6,96320,21,0,,,,0.5073733333333333,,,,,,,96320,False,
40685,,,,,,,,,,,,,,,,,
40923,,,,,,,,,,,,,,,,,
41146,sylvine,5124,20,0,,,,0.9154746423927177,,,,,,,5124,False,
41147,,,,,,,,,,,,,,,,,
41162,,,,,,,,,,,,,,,,,
41163,,,,,,,,,,,,,,,,,
41164,,,,,,,,,,,,,,,,,
41166,,,,,,,,,,,,,,,,,
41168,,,,,,,,,,,,,,,,,
41169,,,,,,,,,,,,,,,,,
41671,,,,,,,,,,,,,,,,,
41972,,,,,,,,,,,,,,,,,
42206,,,,,,,,,,,,,,,,,
42343,,,,,,,,,,,,,,,,,
42395,,,,,,,,,,,,,,,,,
42468,,,,,,,,,,,,,,,,,
42477,default-of-credit-card-clients,30000,23,0,,,,0.8158933333333334,,,,,,,30000,False,
42742,,,,,,,,,,,,,,,,,
42746,,,,,,,,,,,,,,,,,
43489,,,,,,,,,,,,,,,,,
