dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
44,spambase,4601,57,0,0,0,0,,0.917095588235294,0.9477941176470589,0.9027573529411764,0.9332720588235294,0.9420955882352942,,3626,False
60,waveform-5000,5000,40,0,0,0,0,,0.927693856998993,0.9190332326283988,0.865055387713998,0.9125881168177241,0.9214501510574019,,3310,False
279,meta_stream_intervals.arff,45164,74,0,1,0,0,,0.9726452340665539,0.996897913141568,0.9954314720812183,0.9919345741680766,0.9965595036661027,,11818,False
351,codrna,488565,8,0,0,0,0,,0.9528399999999999,0.9645466666666668,0.9318799999999999,0.9630733333333333,0.95746,,325710,False
357,vehicle_sensIT,98528,100,0,0,0,0,,0.8577933333333334,0.8685,0.7824933333333333,0.8291933333333332,0.8628866666666667,,98528,False
720,abalone,4177,8,1,0,0,0,,0.7831865492393915,0.7646116893514812,0.7143314651721376,0.7932746196957565,0.7844675740592474,,4162,False
725,bank8FM,8192,8,0,1,0,0,,0.9381360201511335,0.9338035264483627,0.9082115869017633,0.9408564231738035,0.9357178841309824,,6614,False
734,ailerons,13750,40,0,7,0,0,,0.8773234200743494,0.8844152130397482,0.8304832713754647,0.8738919073491564,0.8719473834715471,,11656,False
735,cpu_small,8192,12,0,0,0,0,,0.9045057162071284,0.9159381304640215,0.8655010087424344,0.9141896435776731,0.9172831203765972,,4954,False
737,space_ga,3107,6,0,0,0,0,,0.8324324324324325,0.8421621621621622,0.7591351351351352,0.8592432432432432,0.8337297297297297,,3082,False
761,cpu_act,8192,21,0,0,0,0,,0.9245460659045058,0.9301950235373235,0.8883658372562205,0.9305985205110963,0.9276395427034296,,4954,False
803,delta_ailerons,7129,5,0,0,0,0,,0.9393426294820717,0.9423306772908366,0.9107569721115537,0.9423306772908366,0.9446215139442232,,6692,False
816,puma8NH,8192,8,0,0,0,0,,0.8274621986105435,0.818226399673069,0.760114425827544,0.8322026971802208,0.8294237842255823,,8156,False
819,delta_elevators,9517,6,0,1,0,0,,0.8823239436619719,0.8709154929577465,0.821338028169014,0.8804929577464791,0.8778169014084506,,9464,False
823,houses,20640,8,0,0,0,0,,0.9629463451112358,0.9826135726303982,0.97573378201533,0.9821648906337634,0.9832492054589641,,17828,False
833,bank32nh,8192,32,0,4,0,0,,0.8002621231979031,0.78086500655308,0.6993446920052424,0.7699868938401049,0.7792922673656618,,5086,False
846,elevators,16599,18,0,2,0,0,,0.8696979538811302,0.8610587853199091,0.7537512179278986,0.8773627801234166,0.8268918480025983,,10260,False
847,wind,6574,14,0,0,0,0,,0.8488069414316703,0.8568329718004339,0.7911062906724512,0.8656182212581346,0.8569414316702819,,6146,False
871,pollen,3848,5,0,0,0,0,,0.4902164502164502,0.48969696969696963,0.49160173160173165,0.4891774891774892,0.4936796536796537,,3848,False
976,JapaneseVowels,9961,14,0,0,0,0,,0.9531475748194014,0.9839009287925696,0.9525283797729618,0.9857585139318885,0.9834881320949431,,3228,False
979,waveform-5000,5000,40,0,0,0,0,,0.8663385826771653,0.8789370078740157,0.80748031496063,0.8710629921259843,0.8820866141732283,,3384,False
1053,jm1,10885,21,0,0,0,5,,0.6535657686212362,0.6481774960380349,0.6158478605388272,0.6567353407290015,0.6613312202852615,,4206,False
1110,KDDCup99_full,4898431,41,7,6,0,0,,0.9999933333333333,1.0,0.9999666666666667,0.9999666666666667,1.0,,2144034,False
1113,KDDCup99,494020,41,7,7,0,0,,0.9999933333333333,1.0,0.99996,1.0,1.0,,214402,False
1119,adult-census,32561,14,8,0,0,0,,0.743039319872476,0.7730499468650371,0.6894367693942615,0.7608926673751328,0.7362380446333687,,15682,False
1222,letter-challenge-unlabeled.arff,20000,16,0,0,0,0,,0.5560313075506447,0.5960405156537752,0.5576887661141804,0.5746777163904235,0.5773480662983426,,14480,False
1241,codrnaNorm,488565,8,0,0,0,0,,0.9536266666666666,0.9651266666666667,0.9333,0.9638266666666666,0.9581933333333333,,325710,False
1242,vehicleNorm,98528,100,0,0,0,0,,0.8571933333333333,0.8673933333333335,0.7812866666666667,0.8318133333333334,0.8624333333333333,,98528,False
1476,gas-drift,13910,128,0,0,0,0,,0.998519362186788,0.9979498861047835,0.9931662870159453,0.998633257403189,0.9980637813211845,,5852,False
1477,gas-drift-different-concentrations,13910,129,0,0,0,0,,0.9982915717539862,0.9980637813211845,0.9937357630979499,0.998633257403189,0.9977220956719817,,5852,False
1478,har,10299,561,0,0,0,0,,1.0,0.9998251748251749,1.0,0.9993006993006993,1.0,,3812,False
1486,nomao,34465,118,29,15,0,0,,0.9286270526493992,0.9659725749111224,0.938953783646521,0.9544608092094127,0.9625529033350263,,19688,False
1503,spoken-arabic-digit,263256,14,0,0,0,0,,0.5192866666666667,0.5274666666666666,0.52324,0.5353333333333333,0.5652133333333332,,52932,False
1507,twonorm,7400,20,0,0,0,0,,0.9764758900405589,0.9693555655700766,0.8414601171698963,0.9697160883280758,0.9689049121225777,,7394,False
1526,wall-robot-navigation,5456,4,0,0,0,0,,0.9720413026211279,0.9996822875297855,1.0,0.9926926131850674,1.0,,4194,False
1590,adult,48842,14,8,0,0,0,,0.7418915691425841,0.7743014091234774,0.7038452352519704,0.7565798901361356,0.7373775973250538,,23374,False
4134,Bioresponse,3751,1776,0,522,0,0,,0.7487875848690593,0.7804073714839961,0.6973811833171678,0.7738118331716779,0.7840931134820562,,3434,False
4541,Diabetes130US,101766,49,36,2,0,0,,0.6173266666666667,0.6544333333333333,0.5726933333333334,0.6324333333333334,0.6400533333333334,,71090,False
23517,numerai28.6,96320,21,0,0,0,0,,0.5177466666666667,0.5104666666666666,0.5004466666666667,0.5055866666666666,0.5089666666666668,,95324,False
40685,shuttle,58000,9,0,0,0,0,,0.9803444402845376,1.0,0.999850243354549,0.9997379258704605,1.0,,17806,False
40923,Devnagari-Script,92000,1024,0,240,0,0,,0.9936666666666667,0.9973333333333333,0.986,0.998,0.9974999999999999,,4000,False
41146,sylvine,5124,20,0,0,0,0,,0.9200260078023407,0.9539661898569571,0.9109232769830949,0.9282184655396619,0.9423927178153445,,5124,False
41147,albert,425240,78,52,0,11,201038,,0.6052333333333333,0.6316866666666667,0.55016,0.6208,0.62486,,202948,False
41162,kick,72983,32,18,0,0,383,,0.6144645860586806,0.6312091197906934,0.5705475612035134,0.650943748831994,0.6327415436367034,,17836,False
41163,dilbert,10000,2000,0,0,0,0,,0.9996742671009772,0.9993485342019544,0.9859934853420196,0.9996742671009772,0.9995114006514658,,4092,False
41164,fabert,8237,800,0,58,0,0,,0.9702970297029703,0.9438943894389439,0.9575357535753575,0.968976897689769,0.9617161716171617,,3030,False
41166,volkert,58310,180,0,33,0,0,,0.9881811395869619,0.9889524757402339,0.9733515799950236,0.9894749937795471,0.9858671311271461,,23038,False
41168,jannis,83733,54,0,0,0,0,,0.7274866666666667,0.7784133333333333,0.6791466666666667,0.7233066666666668,0.7713533333333334,,57580,False
41169,helena,65196,27,0,0,0,0,,0.9659412404787812,0.9696409140369967,0.9424374319912949,0.9646354733405875,0.967791077257889,,6126,False
41671,microaggregation2,20000,20,0,10,0,0,,0.6562825278810409,0.6210408921933086,0.5680297397769517,0.661189591078067,0.6359851301115242,,8964,False
41972,Indian_pines,9144,220,0,0,0,0,,0.8785619174434087,0.9118508655126497,0.7669773635153129,0.9185086551264978,0.866444740346205,,5004,False
42206,porto-seguro,595212,37,25,3,0,142164,,0.5648228713486637,0.5668738346799254,0.5168324010772737,0.5608038118914439,0.5474725502382431,,34308,False
42343,KDD98,82318,477,136,11,27,8339,,0.5445325465609441,0.5580306103632676,0.5155449013461184,0.5224045731145123,0.5478148626221648,,18076,False
42395,SantanderCustomerSatisfaction,200000,201,0,0,0,0,,0.7749801555802508,0.7870773138593428,0.5800365137323384,0.7191062073344975,0.7402841720908081,,40196,False
42468,hls4ml_lhc_jets_hlf,830000,16,0,0,0,0,,0.8879733333333334,0.8961066666666667,0.84284,0.89962,0.8910066666666665,,334250,False
42477,default-of-credit-card-clients,30000,23,0,2,0,0,,0.6693119035660472,0.6951783023606227,0.6207433450527373,0.7059266700150678,0.699347061778001,,13272,False
42742,porto-seguro,595212,57,31,6,0,142164,,0.5634244872591673,0.5655376009944064,0.5140563496996065,0.5341930805883571,0.5572819556660451,,34308,False
42746,KDDCup99,4898431,41,9,5,0,0,,0.9999933333333333,1.0,0.9999666666666667,0.9999666666666667,1.0,,2144034,False
43489,Census-(Augmented),1000000,14,0,0,0,0,,0.7641333333333333,0.7927199999999999,0.7175733333333334,0.7874133333333334,0.7866133333333333,,630668,False
