dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
44,spambase,4601.0,57.0,0.0,,,,,,0.9581462708182475,,,,,4601.0,False,
60,waveform-5000,5000.0,40.0,0.0,,,,,,0.8490666666666667,,,,,5000.0,False,
150,covertype,581012.0,54.0,44.0,,,,,,0.78528,,,,,581012.0,False,
152,Hyperplane_10_1E-3,1000000.0,10.0,0.0,,,,,,0.68712,,,,,1000000.0,False,
153,Hyperplane_10_1E-4,1000000.0,10.0,0.0,,,,,,0.8850199999999999,,,,,1000000.0,False,
159,RandomRBF_50_1E-3,1000000.0,10.0,0.0,,,,,,0.29606,,,,,1000000.0,False,
160,RandomRBF_50_1E-4,1000000.0,10.0,0.0,,,,,,0.39792,,,,,1000000.0,False,
180,covertype,110393.0,54.0,40.0,,,,,,0.7683466666666667,,,,,110393.0,False,
182,satimage,6430.0,36.0,0.0,,,,,,0.9207879730430276,,,,,6430.0,False,
250,BNG(mfeat-fourier),1000000.0,76.0,0.0,,,,,,0.8792133333333332,,,,,1000000.0,False,
251,BNG(breast-w),39366.0,9.0,0.0,,,,,,0.9857588442912254,,,,,39366.0,False,
252,BNG(mfeat-karhunen),1000000.0,64.0,0.0,,,,,,0.9720266666666668,,,,,1000000.0,False,
254,BNG(mfeat-zernike),1000000.0,47.0,0.0,,,,,,0.8179066666666668,,,,,1000000.0,False,
256,BNG(colic.ORIG),1000000.0,27.0,20.0,,,,,,0.8522200000000002,,,,,1000000.0,False,
261,BNG(pendigits),1000000.0,16.0,0.0,,,,,,0.90878,,,,,1000000.0,False,
267,BNG(heart-statlog),1000000.0,13.0,0.0,,,,,,0.8963666666666666,,,,,1000000.0,False,
271,BNG(waveform-5000),1000000.0,40.0,0.0,,,,,,0.8917666666666666,,,,,1000000.0,False,
279,meta_stream_intervals.arff,45164.0,74.0,0.0,,,,,,0.9835333333333336,,,,,45164.0,False,
351,codrna,488565.0,8.0,0.0,,,,,,0.9611466666666668,,,,,488565.0,False,
357,vehicle_sensIT,98528.0,100.0,0.0,,,,,,0.86784,,,,,98528.0,False,
554,mnist_784,70000.0,784.0,0.0,,,,,,0.9615466666666668,,,,,70000.0,False,
725,bank8FM,8192.0,8.0,0.0,,,,,,0.9368592351505288,,,,,8192.0,False,
734,ailerons,13750.0,40.0,0.0,,,,,,0.8853333333333333,,,,,13750.0,False,
735,cpu_small,8192.0,12.0,0.0,,,,,,0.9274206672091132,,,,,8192.0,False,
737,space_ga,3107.0,6.0,0.0,,,,,,0.8422293676312969,,,,,3107.0,False,
761,cpu_act,8192.0,21.0,0.0,,,,,,0.939707078925956,,,,,8192.0,False,
803,delta_ailerons,7129.0,5.0,0.0,,,,,,0.9416549789621318,,,,,7129.0,False,
816,puma8NH,8192.0,8.0,0.0,,,,,,0.8180634662327095,,,,,8192.0,False,
819,delta_elevators,9517.0,6.0,0.0,,,,,,0.8693977591036415,,,,,9517.0,False,
823,houses,20640.0,8.0,0.0,,,,,,0.9817212982399482,,,,,20640.0,False,
833,bank32nh,8192.0,32.0,0.0,,,,,,0.8105777054515866,,,,,8192.0,False,
846,elevators,16599.0,18.0,0.0,,,,,,0.8883534136546185,,,,,16599.0,False,
847,wind,6574.0,14.0,0.0,,,,,,0.8611251900658894,,,,,6574.0,False,
871,pollen,3848.0,5.0,0.0,,,,,,0.4995670995670995,,,,,3848.0,False,
976,JapaneseVowels,9961.0,14.0,0.0,,,,,,0.9929073268651722,,,,,9961.0,False,
979,waveform-5000,5000.0,40.0,0.0,,,,,,0.8889333333333334,,,,,5000.0,False,
1053,jm1,10885.0,21.0,0.0,,,,,,0.8126148193508879,,,,,10885.0,False,
1181,BNG(spectf_test),1000000.0,44.0,0.0,,,,,,0.7896066666666666,,,,,1000000.0,False,
1183,BNG(satimage),1000000.0,36.0,0.0,,,,,,0.8845000000000001,,,,,1000000.0,False,
1185,BNG(wine),1000000.0,13.0,0.0,,,,,,0.9505933333333332,,,,,1000000.0,False,
1205,BNG(Australian),1000000.0,14.0,0.0,,,,,,0.8672733333333333,,,,,1000000.0,False,
1212,BNG(SPECTF),1000000.0,44.0,0.0,,,,,,0.77684,,,,,1000000.0,False,
1214,BNG(JapaneseVowels),1000000.0,14.0,0.0,,,,,,0.8550866666666668,,,,,1000000.0,False,
1216,Click_prediction_small,1496391.0,9.0,0.0,,,,,,0.95562,,,,,1496391.0,False,
1218,Click_prediction_small,1997410.0,11.0,0.0,,,,,,0.8365866666666667,,,,,1997410.0,False,
1219,Click_prediction_small,399482.0,11.0,0.0,,,,,,0.8343866666666667,,,,,399482.0,False,
1222,letter-challenge-unlabeled.arff,20000.0,16.0,0.0,,,,,,0.4948333333333333,,,,,20000.0,False,
1226,Click_prediction_small,798964.0,9.0,0.0,,,,,,0.4830666666666666,,,,,798964.0,False,
1241,codrnaNorm,488565.0,8.0,0.0,,,,,,0.9620733333333332,,,,,488565.0,False,
1242,vehicleNorm,98528.0,100.0,0.0,,,,,,0.8686333333333331,,,,,98528.0,False,
1476,gas-drift,13910.0,128.0,0.0,,,,,,0.9944883776659476,,,,,13910.0,False,
1477,gas-drift-different-concentrations,13910.0,129.0,0.0,,,,,,0.9953031392283728,,,,,13910.0,False,
1478,har,10299.0,561.0,0.0,,,,,,0.9913915857605178,,,,,10299.0,False,
1486,nomao,34465.0,118.0,29.0,,,,,,0.9680143847932186,,,,,34465.0,False,
1503,spoken-arabic-digit,263256.0,14.0,0.0,,,,,,0.10446,,,,,263256.0,False,
1507,twonorm,7400.0,20.0,0.0,,,,,,0.972162162162162,,,,,7400.0,False,
1526,wall-robot-navigation,5456.0,4.0,0.0,,,,,,0.9980452046426388,,,,,5456.0,False,
1596,covertype,581012.0,54.0,44.0,,,,,,0.78528,,,,,581012.0,False,
4134,Bioresponse,3751.0,1776.0,0.0,,,,,,0.7980461811722913,,,,,3751.0,False,
23517,numerai28.6,96320.0,21.0,0.0,,,,,,0.5143066666666666,,,,,96320.0,False,
40996,Fashion-MNIST,70000.0,784.0,0.0,,,,,,0.8785399999999999,,,,,70000.0,False,
41146,sylvine,5124.0,20.0,0.0,,,,,,0.9511053315994796,,,,,5124.0,False,
41166,volkert,58310.0,180.0,0.0,,,,,,0.6455,,,,,58310.0,False,
41168,jannis,83733.0,54.0,0.0,,,,,,0.6935399999999999,,,,,83733.0,False,
41169,helena,65196.0,27.0,0.0,,,,,,0.2543,,,,,65196.0,False,
41671,microaggregation2,20000.0,20.0,0.0,,,,,,0.6296333333333333,,,,,20000.0,False,
41972,Indian_pines,9144.0,220.0,0.0,,,,,,0.7835276967930028,,,,,9144.0,False,
41986,GTSRB-HOG01,51839.0,1568.0,0.0,,,,,,0.72402,,,,,51839.0,False,
41988,GTSRB-HOG02,51839.0,1568.0,0.0,,,,,,0.7400400000000001,,,,,51839.0,False,
42206,porto-seguro,595212.0,37.0,25.0,,,,,,0.96356,,,,,595212.0,False,
42468,hls4ml_lhc_jets_hlf,830000.0,16.0,0.0,,,,,,0.7498799999999999,,,,,830000.0,False,
42477,default-of-credit-card-clients,30000.0,23.0,0.0,,,,,,0.82104,,,,,30000.0,False,
42742,porto-seguro,595212.0,57.0,31.0,,,,,,0.9635733333333332,,,,,595212.0,False,
246,BNG(labor),1000000.0,16.0,8.0,,,,,,0.9624466666666667,,,,,1000000.0,False,
257,BNG(colic),1000000.0,22.0,15.0,,,,,,0.9089466666666667,,,,,1000000.0,False,
258,BNG(credit-a),1000000.0,15.0,9.0,,,,,,0.8988066666666666,,,,,1000000.0,False,
266,BNG(heart-c),1000000.0,13.0,7.0,,,,,,0.8919333333333335,,,,,1000000.0,False,
269,BNG(hepatitis),1000000.0,19.0,13.0,,,,,,0.9330399999999999,,,,,1000000.0,False,
720,abalone,4177.0,8.0,1.0,,,,,,0.773524720893142,,,,,4177.0,False,
1110,,,,,,,,,,,,,,,,,
1113,,,,,,,,,,,,,,,,,
1119,adult-census,32561.0,14.0,8.0,,,,,,0.868458516029839,,,,,32561.0,False,
1209,BNG(vowel),1000000.0,12.0,2.0,,,,,,0.7196999999999999,,,,,1000000.0,False,
1240,AirlinesCodrnaAdult,1076790.0,29.0,16.0,,,,,,0.7900133333333332,,,,,1076790.0,False,
1351,"BNG(anneal,1000,1)",1000000.0,38.0,32.0,,,,,,0.90938,,,,,1000000.0,False,
1352,"BNG(anneal,1000,5)",1000000.0,38.0,32.0,,,,,,0.8151733333333333,,,,,1000000.0,False,
1353,"BNG(anneal,1000,10)",1000000.0,38.0,32.0,,,,,,0.7819800000000001,,,,,1000000.0,False,
1354,"BNG(anneal,5000,1)",1000000.0,38.0,32.0,,,,,,0.9479,,,,,1000000.0,False,
1355,"BNG(anneal,5000,5)",1000000.0,38.0,32.0,,,,,,0.9067866666666667,,,,,1000000.0,False,
1356,"BNG(anneal,5000,10)",1000000.0,38.0,32.0,,,,,,0.8772333333333334,,,,,1000000.0,False,
1357,"BNG(anneal,10000,1)",1000000.0,38.0,32.0,,,,,,0.9482799999999999,,,,,1000000.0,False,
1358,"BNG(anneal,10000,5)",1000000.0,38.0,32.0,,,,,,0.9288866666666667,,,,,1000000.0,False,
1359,"BNG(anneal,10000,10)",1000000.0,38.0,32.0,,,,,,0.91044,,,,,1000000.0,False,
1360,"BNG(anneal.ORIG,1000,1)",1000000.0,38.0,32.0,,,,,,0.8701533333333332,,,,,1000000.0,False,
1361,"BNG(anneal.ORIG,1000,5)",1000000.0,38.0,32.0,,,,,,0.8267666666666665,,,,,1000000.0,False,
1362,"BNG(anneal.ORIG,1000,10)",1000000.0,38.0,32.0,,,,,,0.77702,,,,,1000000.0,False,
1363,"BNG(anneal.ORIG,5000,1)",1000000.0,38.0,32.0,,,,,,0.9173200000000001,,,,,1000000.0,False,
1364,"BNG(anneal.ORIG,5000,5)",1000000.0,38.0,32.0,,,,,,0.8726933333333333,,,,,1000000.0,False,
1365,"BNG(anneal.ORIG,5000,10)",1000000.0,38.0,32.0,,,,,,0.8624266666666667,,,,,1000000.0,False,
1366,"BNG(anneal.ORIG,10000,1)",1000000.0,38.0,32.0,,,,,,0.9153533333333334,,,,,1000000.0,False,
1368,"BNG(anneal.ORIG,10000,10)",1000000.0,38.0,32.0,,,,,,0.8731733333333335,,,,,1000000.0,False,
1393,"BNG(autos,1000,1)",1000000.0,25.0,10.0,,,,,,0.69566,,,,,1000000.0,False,
1394,"BNG(autos,1000,5)",1000000.0,25.0,10.0,,,,,,0.46491333333333335,,,,,1000000.0,False,
1395,"BNG(autos,1000,10)",1000000.0,25.0,10.0,,,,,,0.37571999999999994,,,,,1000000.0,False,
1590,adult,48842.0,14.0,8.0,,,,,,0.8706533333333335,,,,,48842.0,False,
4541,Diabetes130US,101766.0,49.0,36.0,,,,,,0.6035266666666665,,,,,101766.0,False,
40685,,,,,,,,,,,,,,,,,
40923,,,,,,,,,,,,,,,,,
40997,jungle_chess_2pcs_endgame_panther_lion,4704.0,46.0,26.0,,,,,,0.99985835694051,,,,,4704.0,False,
41000,jungle_chess_2pcs_endgame_panther_elephant,4704.0,46.0,26.0,,,,,,0.9990084985835693,,,,,4704.0,False,
41002,jungle_chess_2pcs_endgame_rat_panther,5880.0,46.0,26.0,,,,,,0.9993197278911564,,,,,5880.0,False,
41039,,,,,,,,,,,,,,,,,
41147,,,,,,,,,,,,,,,,,
41162,kick,72983.0,32.0,18.0,,,,,,0.901,,,,,72983.0,False,
41163,,,,,,,,,,,,,,,,,
41164,,,,,,,,,,,,,,,,,
41982,,,,,,,,,,,,,,,,,
41989,,,,,,,,,,,,,,,,,
42343,,,,,,,,,,,,,,,,,
42395,,,,,,,,,,,,,,,,,
42435,,,,,,,,,,,,,,,,,
42746,,,,,,,,,,,,,,,,,
42750,Census-Income-KDD,199523.0,41.0,0.0,,,,,,0.95306,,,,,199523.0,False,
43489,Census-(Augmented),1000000.0,14.0,0.0,,,,,,0.8815666666666667,,,,,1000000.0,False,
