,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
0,44,spambase,4601,57,0,0,0,0,,0.917095588235294,0.9457720588235293,0.9027573529411764,0.9332720588235294,0.9420955882352942,,3626,False
1,60,waveform-5000,5000,40,0,0,0,0,,0.927693856998993,0.9154078549848943,0.865055387713998,0.9125881168177241,0.9214501510574019,,3310,False
2,152,Hyperplane_10_1E-3,1000000,10,0,0,0,0,,0.6982,0.6912666666666667,0.5988666666666667,0.6924666666666667,0.6841333333333334,,999986,False
3,153,Hyperplane_10_1E-4,1000000,10,0,0,0,0,,0.9077,0.8839666666666667,0.7716333333333333,0.9043,0.8726,,999668,False
4,279,meta_stream_intervals.arff,45164,74,0,1,0,0,,0.9726452340665539,0.9969543147208121,0.9954314720812183,0.9919345741680766,0.9965595036661027,,11818,False
5,351,codrna,488565,8,0,0,0,0,,0.9527666666666667,0.9627,0.9315666666666667,0.963,0.9569,,325710,False
6,357,vehicle_sensIT,98528,100,0,0,0,0,,0.8550333333333333,0.8683333333333333,0.7848,0.8300666666666666,0.8636,,98528,False
7,720,abalone,4177,8,1,0,0,0,,0.7831865492393915,0.7788630904723778,0.7143314651721376,0.7932746196957565,0.7844675740592474,,4162,False
8,725,bank8FM,8192,8,0,1,0,0,,0.9381360201511335,0.9350125944584382,0.9082115869017633,0.9408564231738035,0.9357178841309824,,6614,False
9,734,ailerons,13750,40,0,7,0,0,,0.8773234200743494,0.8867028881898771,0.8304832713754647,0.8738919073491564,0.8719473834715471,,11656,False
10,735,cpu_small,8192,12,0,0,0,0,,0.9045057162071284,0.9159381304640215,0.8655010087424344,0.9141896435776731,0.9172831203765972,,4954,False
11,737,space_ga,3107,6,0,0,0,0,,0.8324324324324325,0.8484324324324325,0.7591351351351352,0.8592432432432432,0.8337297297297297,,3082,False
12,761,cpu_act,8192,21,0,0,0,0,,0.9245460659045058,0.9320780094149294,0.8883658372562205,0.9305985205110963,0.9276395427034296,,4954,False
13,803,delta_ailerons,7129,5,0,0,0,0,,0.9393426294820717,0.9435258964143426,0.9107569721115537,0.9423306772908366,0.9446215139442232,,6692,False
14,816,puma8NH,8192,8,0,0,0,0,,0.8274621986105435,0.8263996730690641,0.760114425827544,0.8322026971802208,0.8294237842255823,,8156,False
