,model_name,data__keyword,mean_r2_test,mean_r2_val,mean_time,hp,...7,_runtime,_step,_timestamp,_wandb,data__categorical,data__method_name,data__regression,data_generation_time,max_test_samples,max_test_score,max_train_samples,max_train_score,max_val_samples,max_val_score,mean_r2_train,mean_test_score,mean_train_score,mean_val_score,min_test_score,min_train_score,min_val_score,model_type,n_features,n_iter,n_test,n_train,one_hot_encoder,processor,regression,std_r2_test,std_r2_train,std_r2_val,std_test_score,std_time,std_train_score,std_val_score,step,test_scores,times,train_prop,train_scores,transformed_target,val_scores,val_test_prop,model__criterion,model__learning_rate,model__loss,model__max_depth,model__max_leaf_nodes,model__min_impurity_decrease,model__min_samples_leaf,model__min_samples_split,model__n_estimators,model__n_iter_no_change,model__subsample,model__validation_fraction,early_stopping_rounds,model__colsample_bylevel,model__colsample_bytree,model__gamma,model__min_child_weight,model__reg_alpha,model__reg_lambda,model__use_label_encoder,model__early_stopping,model__max_iter,model__bootstrap,model__max_features,Unnamed: 0,log_training,model__batch_size,model__device,model__lr,model__lr_scheduler,model__max_epochs,model__module__d_embedding,model__module__d_layers,model__module__dropout,model__module__n_layers,model__optimizer,model__use_checkpoints,transform__0__apply_on,transform__0__method_name,transform__0__type,num_epochs,train_accuracy_vector,valid_accuracy_vector,valid_loss_vector,benchmark,model__module__activation,model__module__d,model__module__d_hidden_factor,model__module__hidden_dropout,model__module__normalization,model__module__residual_dropout,model__optimizer__weight_decay,d_token,model__module__attention_dropout,model__module__d_ffn_factor,model__module__d_token,model__module__ffn_dropout,model__module__initialization,model__module__kv_compression,model__module__kv_compression_sharing,model__module__n_heads,model__module__prenormalization,model__module__token_bias,model__args__batch_size,model__args__data_parallel,model__args__early_stopping_rounds,model__args__epochs,model__args__lr,model__args__model_name,model__args__num_classes,model__args__objective,model__args__use_gpu,model__args__val_batch_size,model__params__depth,model__params__dim,model__params__dropout,model__params__heads,...129,Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,data__n_features,data__n_samples,data__num_samples,model__clf_loss,model__module_d_token,model__n_features_per_subset,model__rotation_algo,model__wandb_run,model__weight_decay,model_module__initialization,model_module__prenormalization,target__method_name,target__n_periods,target__noise,target__period,target__period_size,train_set_prop,transform__0__max_rel_decrease,transform__0__multiplier,transform__1__method_name,transform__1__multiplier,transform__1__type,transform__2__method_name,transform__2__type,test_score,train_score,...165,transform__0__n_iter,transform__1__num_features,transform__2__cov_mult,transform__2__covariance_estimation,transform__2__deactivated,...171,...172,model__alpha,model__class_weight,transform__0__model_to_use,transform__0__num_features_to_remove,transform__0__keep_removed_features,transform__1__max_rel_decrease,transform__1__n_iter,...180,...181,...1
143747,RandomForest,wine,,,0.4637107372283936,random,,6.0,0.0,1660953808.0,{'runtime': 7},0.0,real_data,0.0,0.0011088848114013,50000.0,0.7243947858472998,10000.0,0.7442641298265249,50000.0,0.7347826086956522,,0.7128491620111732,0.740570789031897,0.7304347826086957,0.6871508379888268,0.7381085618354785,0.7260869565217392,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0136538568192352,0.0233988667646062,0.0021701980335383,0.0038888138739126,6906.0,"[0.7132216014897579, 0.7243947858472998, 0.7243947858472998, 0.6871508379888268, 0.7150837988826816]","[0.5010418891906738, 0.4634256362915039, 0.43999433517456055, 0.4384377002716065, 0.47565412521362305]",0.7,"[0.7386681589255736, 0.7409065472859541, 0.7381085618354785, 0.7409065472859541, 0.7442641298265249]",0.0,"[0.7347826086956522, 0.7260869565217392, 0.7304347826086957, 0.7347826086956522, 0.7260869565217392]",0.3,gini,,,2.0,,0.0,47.0,2.0,250.0,,,,,,,,,,,,,,0.0,0.4,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.0,
143761,RandomForest,wine,,,0.4462867736816406,random,,6.0,0.0,1660953733.0,{'runtime': 6},0.0,real_data,0.0,0.0011587142944335,50000.0,0.7262569832402235,10000.0,0.748740906547286,50000.0,0.7391304347826086,,0.7147113594040968,0.7418019026301064,0.7304347826086957,0.6908752327746741,0.7364297705651931,0.7217391304347827,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0126519834275329,0.0325101212078109,0.00398219292102,0.0061487546190134,6892.0,"[0.7150837988826816, 0.7243947858472998, 0.7262569832402235, 0.6908752327746741, 0.7169459962756052]","[0.5112714767456055, 0.43114709854125977, 0.4307699203491211, 0.4302029609680176, 0.4280424118041992]",0.7,"[0.7403469501958589, 0.7420257414661444, 0.7364297705651931, 0.748740906547286, 0.7414661443760493]",0.0,"[0.7391304347826086, 0.7217391304347827, 0.7347826086956522, 0.7304347826086957, 0.7260869565217392]",0.3,gini,,,2.0,,0.0,3.0,2.0,250.0,,,,,,,,,,,,,,0.0,0.4,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.0,
143790,RandomForest,wine,,,0.819757080078125,random,,7.0,0.0,1660953600.0,{'runtime': 8},0.0,real_data,0.0,0.00076508522033691,50000.0,0.8175046554934823,10000.0,0.9938444320089536,50000.0,0.8260869565217391,,0.7992551210428307,0.9925013989927252,0.8043478260869564,0.7783985102420856,0.9916060436485732,0.7608695652173914,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0153289501879007,0.0440359301243295,0.00083752823430864,0.0250519309406746,6863.0,"[0.8175046554934823, 0.7877094972067039, 0.7783985102420856, 0.7970204841713222, 0.8156424581005587]","[0.9072322845458984, 0.8068902492523193, 0.7972338199615479, 0.7964184284210205, 0.7910106182098389]",0.7,"[0.9938444320089536, 0.9916060436485732, 0.9927252378287632, 0.9916060436485732, 0.9927252378287632]",0.0,"[0.8260869565217391, 0.7608695652173914, 0.8217391304347826, 0.7913043478260869, 0.8217391304347826]",0.3,gini,,,,,0.0,2.0,2.0,250.0,,,,,,,,,,,,,,1.0,sqrt,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.0,
143846,RandomForest,wine,,,1.5708996295928954,random,,11.0,0.0,1660953258.0,{'runtime': 12},0.0,real_data,0.0,0.0010139942169189,50000.0,0.7970204841713222,10000.0,0.949636261891438,50000.0,0.8173913043478261,,0.782122905027933,0.9476217123670956,0.793913043478261,0.7672253258845437,0.9412423055400112,0.7608695652173914,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0114793556852308,0.0654441774891354,0.0032165882178399,0.0210499451076699,6807.0,"[0.7914338919925512, 0.7839851024208566, 0.7672253258845437, 0.770949720670391, 0.7970204841713222]","[1.6533048152923584, 1.522815465927124, 1.570622205734253, 1.6304690837860107, 1.4772865772247314]",0.7,"[0.949636261891438, 0.948517067711248, 0.949076664801343, 0.9412423055400112, 0.949636261891438]",1.0,"[0.808695652173913, 0.7608695652173914, 0.8173913043478261, 0.7782608695652173, 0.8043478260869565]",0.3,entropy,,,,,0.0,5.0,2.0,250.0,,,,,,,,,,,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.0,
143935,RandomForest,wine,,,0.4586652278900146,random,,6.0,0.0,1660952752.0,{'runtime': 7},0.0,real_data,0.0,0.0012435913085937,50000.0,0.7411545623836127,10000.0,0.7593732512590935,50000.0,0.7391304347826086,,0.724022346368715,0.757694459988808,0.731304347826087,0.6871508379888268,0.7543368774482373,0.717391304347826,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0188955693019974,0.0344950973121495,0.0019705446963244,0.0079696968607927,6718.0,"[0.7411545623836127, 0.7299813780260708, 0.7318435754189944, 0.6871508379888268, 0.7299813780260708]","[0.5274319648742676, 0.4453558921813965, 0.4424951076507568, 0.4412951469421386, 0.43674802780151367]",0.7,"[0.7543368774482373, 0.7593732512590935, 0.7565752658086178, 0.7593732512590935, 0.7588136541689984]",0.0,"[0.7391304347826086, 0.717391304347826, 0.7391304347826086, 0.7304347826086957, 0.7304347826086957]",0.3,entropy,,,3.0,,0.0,12.0,2.0,250.0,,,,,,,,,,,,,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249.0,
143965,RandomForest,wine,,,1.268847131729126,random,,9.0,0.0,1660952556.0,{'runtime': 10},0.0,real_data,0.0,0.00098991394042968,50000.0,0.7486033519553073,10000.0,0.7778399552322328,50000.0,0.7608695652173914,,0.7310986964618249,0.7636261891438164,0.742608695652174,0.7169459962756052,0.7537772803581422,0.717391304347826,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0123860626803098,0.0605219875516347,0.008334803698673,0.0151613876297067,6688.0,"[0.7486033519553073, 0.7169459962756052, 0.7430167597765364, 0.7225325884543762, 0.7243947858472998]","[1.3202497959136963, 1.2824428081512451, 1.154637575149536, 1.2686254978179932, 1.3182799816131592]",0.7,"[0.7537772803581422, 0.7778399552322328, 0.7571348628987129, 0.7660884163402351, 0.7632904308897593]",0.0,"[0.7521739130434782, 0.7347826086956522, 0.7608695652173914, 0.717391304347826, 0.7478260869565218]",0.3,entropy,,,,,0.01,3.0,2.0,250.0,,,,,,,,,,,,,,0.0,0.8,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279.0,
143976,RandomForest,wine,,,0.7893202304840088,random,,8.0,0.0,1660952464.0,{'runtime': 8},0.0,real_data,0.0,0.0013015270233154,50000.0,0.776536312849162,10000.0,0.8164521544487968,50000.0,0.7913043478260869,,0.753072625698324,0.8054840514829322,0.7617391304347827,0.7243947858472998,0.7985450475657526,0.7478260869565218,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0171322160148976,0.036868444312351,0.0061870285220303,0.0158918842456496,6677.0,"[0.776536312849162, 0.7616387337057728, 0.7486033519553073, 0.7243947858472998, 0.7541899441340782]","[0.8591489791870117, 0.7652969360351562, 0.7685227394104004, 0.7941079139709473, 0.7595245838165283]",0.7,"[0.7985450475657526, 0.8164521544487968, 0.8030218242865137, 0.8074986010072748, 0.8019026301063235]",0.0,"[0.7608695652173914, 0.7478260869565218, 0.7913043478260869, 0.7478260869565218, 0.7608695652173914]",0.3,entropy,,,,,0.0,44.0,2.0,250.0,,,,,,,,,,,,,,0.0,0.3,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290.0,
143987,RandomForest,wine,,,0.7754466533660889,random,,8.0,0.0,1660952389.0,{'runtime': 8},0.0,real_data,0.0,0.001124620437622,50000.0,0.7635009310986964,10000.0,0.7867935086737549,50000.0,0.7565217391304347,,0.7482309124767226,0.7818690542809177,0.7513043478260869,0.7392923649906891,0.7739227756015669,0.7478260869565218,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.009377786452152,0.0345711820781713,0.0045240924300856,0.0032536151189338,6666.0,"[0.7635009310986964, 0.74487895716946, 0.7541899441340782, 0.7392923649906891, 0.7392923649906891]","[0.842522382736206, 0.7537169456481934, 0.754286527633667, 0.7748486995697021, 0.7518587112426758]",0.7,"[0.7739227756015669, 0.7867935086737549, 0.7811975377728035, 0.7817571348628987, 0.7856743144935646]",1.0,"[0.7478260869565218, 0.7478260869565218, 0.7565217391304347, 0.7521739130434782, 0.7521739130434782]",0.3,gini,,,4.0,,0.0,27.0,2.0,250.0,,,,,,,,,,,,,,1.0,0.7,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301.0,
144008,RandomForest,wine,,,0.6695870399475098,random,,7.0,0.0,1660952153.0,{'runtime': 8},0.0,real_data,0.0,0.00076103210449218,50000.0,0.7783985102420856,10000.0,0.8343592613318411,50000.0,0.7913043478260869,,0.758659217877095,0.8279798545047565,0.7617391304347827,0.7299813780260708,0.8237269166200336,0.7434782608695653,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.016045183782896,0.0367126816211848,0.003496474393243,0.0179054437234556,6645.0,"[0.7783985102420856, 0.7597765363128491, 0.7579143389199255, 0.7299813780260708, 0.7672253258845437]","[0.7428736686706543, 0.6543948650360107, 0.6499233245849609, 0.6528465747833252, 0.6478967666625977]",0.7,"[0.8276440962506995, 0.8343592613318411, 0.8276440962506995, 0.8237269166200336, 0.8265249020705092]",1.0,"[0.7695652173913043, 0.7434782608695653, 0.7913043478260869, 0.7434782608695653, 0.7608695652173914]",0.3,gini,,,,,0.0,27.0,2.0,250.0,,,,,,,,,,,,,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322.0,
144029,RandomForest,wine,,,0.4496493339538574,random,,6.0,0.0,1660952012.0,{'runtime': 6},0.0,real_data,0.0,0.0010988712310791,50000.0,0.7411545623836127,10000.0,0.748740906547286,50000.0,0.7434782608695653,,0.7217877094972067,0.744487968662563,0.7295652173913043,0.6908752327746741,0.7392277560156687,0.717391304347826,sklearn,11.0,auto,537.0,1787.0,1.0,x86_64,0.0,,,,0.0172933881061361,0.0383368983242647,0.0035498044828547,0.0084307475781153,6625.0,"[0.7318435754189944, 0.7281191806331471, 0.7411545623836127, 0.6908752327746741, 0.7169459962756052]","[0.5262973308563232, 0.43152403831481934, 0.4287106990814209, 0.4303884506225586, 0.43132615089416504]",0.7,"[0.7392277560156687, 0.748740906547286, 0.7414661443760493, 0.7465025181869054, 0.7465025181869054]",0.0,"[0.7434782608695653, 0.717391304347826, 0.7304347826086957, 0.7304347826086957, 0.7260869565217392]",0.3,entropy,,,2.0,,0.0,24.0,2.0,250.0,,,,,,,,,,,,,,1.0,sqrt,,,,,,,,,,,,,,,,,,,,,numerical_classif_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343.0,
